date,ageGroup,vaxxed
09/08/2022,12 - 17 Years,0.709
09/08/2022,18 - 24 Years,0.801
09/08/2022,25 - 49 Years,0.836
09/08/2022,50 - 64 Years,0.942
09/08/2022,65+ Years,0.95
09/07/2022,<2 Years,0.043
09/07/2022,2 - 4 Years,0.07
09/07/2022,5 - 11 Years,0.383
09/07/2022,12 - 17 Years,0.709
09/07/2022,18 - 24 Years,0.801
09/07/2022,25 - 49 Years,0.835
09/07/2022,50 - 64 Years,0.942
09/07/2022,65+ Years,0.95
09/06/2022,<2 Years,0.043
09/06/2022,2 - 4 Years,0.07
09/06/2022,5 - 11 Years,0.383
09/06/2022,12 - 17 Years,0.709
09/06/2022,18 - 24 Years,0.801
09/06/2022,25 - 49 Years,0.835
09/06/2022,50 - 64 Years,0.942
09/06/2022,65+ Years,0.95
09/05/2022,<2 Years,0.042
09/05/2022,2 - 4 Years,0.069
09/05/2022,5 - 11 Years,0.383
09/05/2022,12 - 17 Years,0.709
09/05/2022,18 - 24 Years,0.801
09/05/2022,25 - 49 Years,0.835
09/05/2022,50 - 64 Years,0.942
09/05/2022,65+ Years,0.95
09/04/2022,<2 Years,0.042
09/04/2022,2 - 4 Years,0.069
09/04/2022,5 - 11 Years,0.383
09/04/2022,12 - 17 Years,0.709
09/04/2022,18 - 24 Years,0.801
09/04/2022,25 - 49 Years,0.835
09/04/2022,50 - 64 Years,0.942
09/04/2022,65+ Years,0.95
09/03/2022,<2 Years,0.042
09/03/2022,2 - 4 Years,0.069
09/03/2022,5 - 11 Years,0.383
09/03/2022,12 - 17 Years,0.709
09/03/2022,18 - 24 Years,0.801
09/03/2022,25 - 49 Years,0.835
09/03/2022,50 - 64 Years,0.942
09/03/2022,65+ Years,0.95
09/02/2022,<2 Years,0.042
09/02/2022,2 - 4 Years,0.069
09/02/2022,5 - 11 Years,0.383
09/02/2022,12 - 17 Years,0.709
09/02/2022,18 - 24 Years,0.801
09/02/2022,25 - 49 Years,0.835
09/02/2022,50 - 64 Years,0.941
09/02/2022,65+ Years,0.95
09/01/2022,<2 Years,0.042
09/01/2022,2 - 4 Years,0.068
09/01/2022,5 - 11 Years,0.383
09/01/2022,12 - 17 Years,0.709
09/01/2022,18 - 24 Years,0.801
09/01/2022,25 - 49 Years,0.835
09/01/2022,50 - 64 Years,0.941
09/01/2022,65+ Years,0.95
08/31/2022,<2 Years,0.041
08/31/2022,2 - 4 Years,0.068
08/31/2022,5 - 11 Years,0.382
08/31/2022,12 - 17 Years,0.708
08/31/2022,18 - 24 Years,0.8
08/31/2022,25 - 49 Years,0.835
08/31/2022,50 - 64 Years,0.941
08/31/2022,65+ Years,0.95
08/30/2022,<2 Years,0.041
08/30/2022,2 - 4 Years,0.067
08/30/2022,5 - 11 Years,0.382
08/30/2022,12 - 17 Years,0.708
08/30/2022,18 - 24 Years,0.8
08/30/2022,25 - 49 Years,0.835
08/30/2022,50 - 64 Years,0.941
08/30/2022,65+ Years,0.95
08/29/2022,<2 Years,0.04
08/29/2022,2 - 4 Years,0.066
08/29/2022,5 - 11 Years,0.382
08/29/2022,12 - 17 Years,0.708
08/29/2022,18 - 24 Years,0.8
08/29/2022,25 - 49 Years,0.835
08/29/2022,50 - 64 Years,0.941
08/29/2022,65+ Years,0.95
08/28/2022,<2 Years,0.04
08/28/2022,2 - 4 Years,0.066
08/28/2022,5 - 11 Years,0.382
08/28/2022,12 - 17 Years,0.708
08/28/2022,18 - 24 Years,0.8
08/28/2022,25 - 49 Years,0.835
08/28/2022,50 - 64 Years,0.941
08/28/2022,65+ Years,0.95
08/27/2022,<2 Years,0.04
08/27/2022,2 - 4 Years,0.066
08/27/2022,5 - 11 Years,0.382
08/27/2022,12 - 17 Years,0.708
08/27/2022,18 - 24 Years,0.8
08/27/2022,25 - 49 Years,0.835
08/27/2022,50 - 64 Years,0.941
08/27/2022,65+ Years,0.95
08/26/2022,<2 Years,0.04
08/26/2022,2 - 4 Years,0.066
08/26/2022,5 - 11 Years,0.382
08/26/2022,12 - 17 Years,0.708
08/26/2022,18 - 24 Years,0.8
08/26/2022,25 - 49 Years,0.835
08/26/2022,50 - 64 Years,0.941
08/26/2022,65+ Years,0.95
08/25/2022,<2 Years,0.039
08/25/2022,2 - 4 Years,0.065
08/25/2022,5 - 11 Years,0.381
08/25/2022,12 - 17 Years,0.708
08/25/2022,18 - 24 Years,0.8
08/25/2022,25 - 49 Years,0.835
08/25/2022,50 - 64 Years,0.941
08/25/2022,65+ Years,0.95
08/24/2022,<2 Years,0.039
08/24/2022,2 - 4 Years,0.064
08/24/2022,5 - 11 Years,0.381
08/24/2022,12 - 17 Years,0.708
08/24/2022,18 - 24 Years,0.8
08/24/2022,25 - 49 Years,0.835
08/24/2022,50 - 64 Years,0.941
08/24/2022,65+ Years,0.95
08/23/2022,<2 Years,0.038
08/23/2022,2 - 4 Years,0.063
08/23/2022,5 - 11 Years,0.381
08/23/2022,12 - 17 Years,0.708
08/23/2022,18 - 24 Years,0.8
08/23/2022,25 - 49 Years,0.835
08/23/2022,50 - 64 Years,0.941
08/23/2022,65+ Years,0.95
08/22/2022,<2 Years,0.038
08/22/2022,2 - 4 Years,0.063
08/22/2022,5 - 11 Years,0.381
08/22/2022,12 - 17 Years,0.708
08/22/2022,18 - 24 Years,0.799
08/22/2022,25 - 49 Years,0.834
08/22/2022,50 - 64 Years,0.941
08/22/2022,65+ Years,0.95
08/21/2022,<2 Years,0.037
08/21/2022,2 - 4 Years,0.062
08/21/2022,5 - 11 Years,0.38
08/21/2022,12 - 17 Years,0.707
08/21/2022,18 - 24 Years,0.799
08/21/2022,25 - 49 Years,0.834
08/21/2022,50 - 64 Years,0.941
08/21/2022,65+ Years,0.95
08/20/2022,<2 Years,0.037
08/20/2022,2 - 4 Years,0.062
08/20/2022,5 - 11 Years,0.38
08/20/2022,12 - 17 Years,0.707
08/20/2022,18 - 24 Years,0.799
08/20/2022,25 - 49 Years,0.834
08/20/2022,50 - 64 Years,0.941
08/20/2022,65+ Years,0.95
08/19/2022,<2 Years,0.037
08/19/2022,2 - 4 Years,0.062
08/19/2022,5 - 11 Years,0.38
08/19/2022,12 - 17 Years,0.707
08/19/2022,18 - 24 Years,0.799
08/19/2022,25 - 49 Years,0.834
08/19/2022,50 - 64 Years,0.941
08/19/2022,65+ Years,0.95
08/18/2022,<2 Years,0.037
08/18/2022,2 - 4 Years,0.061
08/18/2022,5 - 11 Years,0.38
08/18/2022,12 - 17 Years,0.707
08/18/2022,18 - 24 Years,0.799
08/18/2022,25 - 49 Years,0.834
08/18/2022,50 - 64 Years,0.941
08/18/2022,65+ Years,0.95
08/17/2022,<2 Years,0.036
08/17/2022,2 - 4 Years,0.06
08/17/2022,5 - 11 Years,0.38
08/17/2022,12 - 17 Years,0.707
08/17/2022,18 - 24 Years,0.799
08/17/2022,25 - 49 Years,0.834
08/17/2022,50 - 64 Years,0.941
08/17/2022,65+ Years,0.95
08/16/2022,<2 Years,0.036
08/16/2022,2 - 4 Years,0.059
08/16/2022,5 - 11 Years,0.379
08/16/2022,12 - 17 Years,0.707
08/16/2022,18 - 24 Years,0.799
08/16/2022,25 - 49 Years,0.834
08/16/2022,50 - 64 Years,0.941
08/16/2022,65+ Years,0.95
08/15/2022,<2 Years,0.035
08/15/2022,2 - 4 Years,0.058
08/15/2022,5 - 11 Years,0.379
08/15/2022,12 - 17 Years,0.707
08/15/2022,18 - 24 Years,0.798
08/15/2022,25 - 49 Years,0.834
08/15/2022,50 - 64 Years,0.941
08/15/2022,65+ Years,0.95
08/14/2022,<2 Years,0.035
08/14/2022,2 - 4 Years,0.058
08/14/2022,5 - 11 Years,0.379
08/14/2022,12 - 17 Years,0.707
08/14/2022,18 - 24 Years,0.798
08/14/2022,25 - 49 Years,0.834
08/14/2022,50 - 64 Years,0.941
08/14/2022,65+ Years,0.95
08/13/2022,<2 Years,0.035
08/13/2022,2 - 4 Years,0.058
08/13/2022,5 - 11 Years,0.379
08/13/2022,12 - 17 Years,0.707
08/13/2022,18 - 24 Years,0.798
08/13/2022,25 - 49 Years,0.834
08/13/2022,50 - 64 Years,0.941
08/13/2022,65+ Years,0.95
08/12/2022,<2 Years,0.034
08/12/2022,2 - 4 Years,0.057
08/12/2022,5 - 11 Years,0.379
08/12/2022,12 - 17 Years,0.707
08/12/2022,18 - 24 Years,0.798
08/12/2022,25 - 49 Years,0.834
08/12/2022,50 - 64 Years,0.94
08/12/2022,65+ Years,0.95
08/11/2022,<2 Years,0.034
08/11/2022,2 - 4 Years,0.056
08/11/2022,5 - 11 Years,0.378
08/11/2022,12 - 17 Years,0.706
08/11/2022,18 - 24 Years,0.798
08/11/2022,25 - 49 Years,0.834
08/11/2022,50 - 64 Years,0.94
08/11/2022,65+ Years,0.95
08/10/2022,<2 Years,0.033
08/10/2022,2 - 4 Years,0.056
08/10/2022,5 - 11 Years,0.378
08/10/2022,12 - 17 Years,0.706
08/10/2022,18 - 24 Years,0.798
08/10/2022,25 - 49 Years,0.834
08/10/2022,50 - 64 Years,0.94
08/10/2022,65+ Years,0.95
08/09/2022,<2 Years,0.033
08/09/2022,2 - 4 Years,0.055
08/09/2022,5 - 11 Years,0.378
08/09/2022,12 - 17 Years,0.706
08/09/2022,18 - 24 Years,0.798
08/09/2022,25 - 49 Years,0.834
08/09/2022,50 - 64 Years,0.94
08/09/2022,65+ Years,0.95
08/08/2022,<2 Years,0.032
08/08/2022,2 - 4 Years,0.054
08/08/2022,5 - 11 Years,0.377
08/08/2022,12 - 17 Years,0.706
08/08/2022,18 - 24 Years,0.797
08/08/2022,25 - 49 Years,0.834
08/08/2022,50 - 64 Years,0.94
08/08/2022,65+ Years,0.95
08/07/2022,<2 Years,0.032
08/07/2022,2 - 4 Years,0.053
08/07/2022,5 - 11 Years,0.377
08/07/2022,12 - 17 Years,0.706
08/07/2022,18 - 24 Years,0.797
08/07/2022,25 - 49 Years,0.833
08/07/2022,50 - 64 Years,0.94
08/07/2022,65+ Years,0.95
08/06/2022,<2 Years,0.032
08/06/2022,2 - 4 Years,0.053
08/06/2022,5 - 11 Years,0.377
08/06/2022,12 - 17 Years,0.706
08/06/2022,18 - 24 Years,0.797
08/06/2022,25 - 49 Years,0.833
08/06/2022,50 - 64 Years,0.94
08/06/2022,65+ Years,0.95
08/05/2022,<2 Years,0.032
08/05/2022,2 - 4 Years,0.053
08/05/2022,5 - 11 Years,0.377
08/05/2022,12 - 17 Years,0.706
08/05/2022,18 - 24 Years,0.797
08/05/2022,25 - 49 Years,0.833
08/05/2022,50 - 64 Years,0.94
08/05/2022,65+ Years,0.95
08/04/2022,<2 Years,0.031
08/04/2022,2 - 4 Years,0.052
08/04/2022,5 - 11 Years,0.376
08/04/2022,12 - 17 Years,0.705
08/04/2022,18 - 24 Years,0.797
08/04/2022,25 - 49 Years,0.833
08/04/2022,50 - 64 Years,0.94
08/04/2022,65+ Years,0.95
08/03/2022,<2 Years,0.03
08/03/2022,2 - 4 Years,0.051
08/03/2022,5 - 11 Years,0.376
08/03/2022,12 - 17 Years,0.705
08/03/2022,18 - 24 Years,0.797
08/03/2022,25 - 49 Years,0.833
08/03/2022,50 - 64 Years,0.94
08/03/2022,65+ Years,0.95
08/02/2022,<2 Years,0.03
08/02/2022,2 - 4 Years,0.05
08/02/2022,5 - 11 Years,0.376
08/02/2022,12 - 17 Years,0.705
08/02/2022,18 - 24 Years,0.797
08/02/2022,25 - 49 Years,0.833
08/02/2022,50 - 64 Years,0.94
08/02/2022,65+ Years,0.95
08/01/2022,<2 Years,0.029
08/01/2022,2 - 4 Years,0.049
08/01/2022,5 - 11 Years,0.375
08/01/2022,12 - 17 Years,0.705
08/01/2022,18 - 24 Years,0.796
08/01/2022,25 - 49 Years,0.833
08/01/2022,50 - 64 Years,0.94
08/01/2022,65+ Years,0.95
07/31/2022,<2 Years,0.029
07/31/2022,2 - 4 Years,0.048
07/31/2022,5 - 11 Years,0.375
07/31/2022,12 - 17 Years,0.705
07/31/2022,18 - 24 Years,0.796
07/31/2022,25 - 49 Years,0.833
07/31/2022,50 - 64 Years,0.94
07/31/2022,65+ Years,0.95
07/30/2022,<2 Years,0.029
07/30/2022,2 - 4 Years,0.048
07/30/2022,5 - 11 Years,0.375
07/30/2022,12 - 17 Years,0.705
07/30/2022,18 - 24 Years,0.796
07/30/2022,25 - 49 Years,0.833
07/30/2022,50 - 64 Years,0.94
07/30/2022,65+ Years,0.95
07/29/2022,<2 Years,0.029
07/29/2022,2 - 4 Years,0.047
07/29/2022,5 - 11 Years,0.375
07/29/2022,12 - 17 Years,0.705
07/29/2022,18 - 24 Years,0.796
07/29/2022,25 - 49 Years,0.833
07/29/2022,50 - 64 Years,0.939
07/29/2022,65+ Years,0.95
07/28/2022,<2 Years,0.028
07/28/2022,2 - 4 Years,0.046
07/28/2022,5 - 11 Years,0.374
07/28/2022,12 - 17 Years,0.704
07/28/2022,18 - 24 Years,0.796
07/28/2022,25 - 49 Years,0.833
07/28/2022,50 - 64 Years,0.939
07/28/2022,65+ Years,0.95
07/27/2022,<2 Years,0.027
07/27/2022,2 - 4 Years,0.045
07/27/2022,5 - 11 Years,0.374
07/27/2022,12 - 17 Years,0.704
07/27/2022,18 - 24 Years,0.796
07/27/2022,25 - 49 Years,0.833
07/27/2022,50 - 64 Years,0.939
07/27/2022,65+ Years,0.95
07/26/2022,<2 Years,0.027
07/26/2022,2 - 4 Years,0.044
07/26/2022,5 - 11 Years,0.374
07/26/2022,12 - 17 Years,0.704
07/26/2022,18 - 24 Years,0.796
07/26/2022,25 - 49 Years,0.832
07/26/2022,50 - 64 Years,0.939
07/26/2022,65+ Years,0.95
07/25/2022,<2 Years,0.026
07/25/2022,2 - 4 Years,0.043
07/25/2022,5 - 11 Years,0.373
07/25/2022,12 - 17 Years,0.704
07/25/2022,18 - 24 Years,0.796
07/25/2022,25 - 49 Years,0.832
07/25/2022,50 - 64 Years,0.939
07/25/2022,65+ Years,0.95
07/24/2022,<2 Years,0.025
07/24/2022,2 - 4 Years,0.042
07/24/2022,5 - 11 Years,0.373
07/24/2022,12 - 17 Years,0.704
07/24/2022,18 - 24 Years,0.795
07/24/2022,25 - 49 Years,0.832
07/24/2022,50 - 64 Years,0.939
07/24/2022,65+ Years,0.95
07/23/2022,<2 Years,0.025
07/23/2022,2 - 4 Years,0.042
07/23/2022,5 - 11 Years,0.373
07/23/2022,12 - 17 Years,0.704
07/23/2022,18 - 24 Years,0.795
07/23/2022,25 - 49 Years,0.832
07/23/2022,50 - 64 Years,0.939
07/23/2022,65+ Years,0.95
07/22/2022,<2 Years,0.025
07/22/2022,2 - 4 Years,0.041
07/22/2022,5 - 11 Years,0.373
07/22/2022,12 - 17 Years,0.704
07/22/2022,18 - 24 Years,0.795
07/22/2022,25 - 49 Years,0.832
07/22/2022,50 - 64 Years,0.939
07/22/2022,65+ Years,0.95
07/21/2022,<2 Years,0.024
07/21/2022,2 - 4 Years,0.04
07/21/2022,5 - 11 Years,0.372
07/21/2022,12 - 17 Years,0.703
07/21/2022,18 - 24 Years,0.795
07/21/2022,25 - 49 Years,0.832
07/21/2022,50 - 64 Years,0.939
07/21/2022,65+ Years,0.95
