date,ageGroup,vaxxed
04/11/2022,50 - 64 Years,0.927
04/11/2022,65+ Years,0.95
04/10/2022,<2 Years,0
04/10/2022,2 - 4 Years,0
04/10/2022,5 - 11 Years,0.351
04/10/2022,12 - 17 Years,0.69
04/10/2022,18 - 24 Years,0.779
04/10/2022,25 - 49 Years,0.822
04/10/2022,50 - 64 Years,0.927
04/10/2022,65+ Years,0.95
04/09/2022,<2 Years,0
04/09/2022,2 - 4 Years,0
04/09/2022,5 - 11 Years,0.351
04/09/2022,12 - 17 Years,0.69
04/09/2022,18 - 24 Years,0.779
04/09/2022,25 - 49 Years,0.822
04/09/2022,50 - 64 Years,0.927
04/09/2022,65+ Years,0.95
04/08/2022,<2 Years,0
04/08/2022,2 - 4 Years,0
04/08/2022,5 - 11 Years,0.351
04/08/2022,12 - 17 Years,0.69
04/08/2022,18 - 24 Years,0.779
04/08/2022,25 - 49 Years,0.822
04/08/2022,50 - 64 Years,0.927
04/08/2022,65+ Years,0.95
04/07/2022,<2 Years,0
04/07/2022,2 - 4 Years,0
04/07/2022,5 - 11 Years,0.351
04/07/2022,12 - 17 Years,0.69
04/07/2022,18 - 24 Years,0.779
04/07/2022,25 - 49 Years,0.822
04/07/2022,50 - 64 Years,0.927
04/07/2022,65+ Years,0.95
04/06/2022,<2 Years,0
04/06/2022,2 - 4 Years,0
04/06/2022,5 - 11 Years,0.35
04/06/2022,12 - 17 Years,0.689
04/06/2022,18 - 24 Years,0.779
04/06/2022,25 - 49 Years,0.822
04/06/2022,50 - 64 Years,0.927
04/06/2022,65+ Years,0.95
04/05/2022,<2 Years,0
04/05/2022,2 - 4 Years,0
04/05/2022,5 - 11 Years,0.35
04/05/2022,12 - 17 Years,0.689
04/05/2022,18 - 24 Years,0.779
04/05/2022,25 - 49 Years,0.822
04/05/2022,50 - 64 Years,0.926
04/05/2022,65+ Years,0.95
04/04/2022,<2 Years,0
04/04/2022,2 - 4 Years,0
04/04/2022,5 - 11 Years,0.35
04/04/2022,12 - 17 Years,0.689
04/04/2022,18 - 24 Years,0.778
04/04/2022,25 - 49 Years,0.821
04/04/2022,50 - 64 Years,0.926
04/04/2022,65+ Years,0.95
04/03/2022,<2 Years,0
04/03/2022,2 - 4 Years,0
04/03/2022,5 - 11 Years,0.349
04/03/2022,12 - 17 Years,0.689
04/03/2022,18 - 24 Years,0.778
04/03/2022,25 - 49 Years,0.821
04/03/2022,50 - 64 Years,0.926
04/03/2022,65+ Years,0.95
04/02/2022,<2 Years,0
04/02/2022,2 - 4 Years,0
04/02/2022,5 - 11 Years,0.349
04/02/2022,12 - 17 Years,0.689
04/02/2022,18 - 24 Years,0.778
04/02/2022,25 - 49 Years,0.821
04/02/2022,50 - 64 Years,0.926
04/02/2022,65+ Years,0.95
04/01/2022,<2 Years,0
04/01/2022,2 - 4 Years,0
04/01/2022,5 - 11 Years,0.349
04/01/2022,12 - 17 Years,0.689
04/01/2022,18 - 24 Years,0.778
04/01/2022,25 - 49 Years,0.821
04/01/2022,50 - 64 Years,0.926
04/01/2022,65+ Years,0.95
03/31/2022,<2 Years,0
03/31/2022,2 - 4 Years,0
03/31/2022,5 - 11 Years,0.349
03/31/2022,12 - 17 Years,0.688
03/31/2022,18 - 24 Years,0.778
03/31/2022,25 - 49 Years,0.821
03/31/2022,50 - 64 Years,0.926
03/31/2022,65+ Years,0.95
03/30/2022,<2 Years,0
03/30/2022,2 - 4 Years,0
03/30/2022,5 - 11 Years,0.348
03/30/2022,12 - 17 Years,0.688
03/30/2022,18 - 24 Years,0.777
03/30/2022,25 - 49 Years,0.821
03/30/2022,50 - 64 Years,0.926
03/30/2022,65+ Years,0.95
03/29/2022,<2 Years,0
03/29/2022,2 - 4 Years,0
03/29/2022,5 - 11 Years,0.348
03/29/2022,12 - 17 Years,0.688
03/29/2022,18 - 24 Years,0.777
03/29/2022,25 - 49 Years,0.821
03/29/2022,50 - 64 Years,0.925
03/29/2022,65+ Years,0.95
03/28/2022,<2 Years,0
03/28/2022,2 - 4 Years,0
03/28/2022,5 - 11 Years,0.347
03/28/2022,12 - 17 Years,0.688
03/28/2022,18 - 24 Years,0.777
03/28/2022,25 - 49 Years,0.821
03/28/2022,50 - 64 Years,0.925
03/28/2022,65+ Years,0.95
03/27/2022,<2 Years,0
03/27/2022,2 - 4 Years,0
03/27/2022,5 - 11 Years,0.347
03/27/2022,12 - 17 Years,0.688
03/27/2022,18 - 24 Years,0.777
03/27/2022,25 - 49 Years,0.82
03/27/2022,50 - 64 Years,0.925
03/27/2022,65+ Years,0.95
03/26/2022,<2 Years,0
03/26/2022,2 - 4 Years,0
03/26/2022,5 - 11 Years,0.347
03/26/2022,12 - 17 Years,0.688
03/26/2022,18 - 24 Years,0.777
03/26/2022,25 - 49 Years,0.82
03/26/2022,50 - 64 Years,0.925
03/26/2022,65+ Years,0.95
03/25/2022,<2 Years,0
03/25/2022,2 - 4 Years,0
03/25/2022,5 - 11 Years,0.347
03/25/2022,12 - 17 Years,0.687
03/25/2022,18 - 24 Years,0.777
03/25/2022,25 - 49 Years,0.82
03/25/2022,50 - 64 Years,0.925
03/25/2022,65+ Years,0.95
03/24/2022,<2 Years,0
03/24/2022,2 - 4 Years,0
03/24/2022,5 - 11 Years,0.346
03/24/2022,12 - 17 Years,0.687
03/24/2022,18 - 24 Years,0.776
03/24/2022,25 - 49 Years,0.82
03/24/2022,50 - 64 Years,0.925
03/24/2022,65+ Years,0.95
03/23/2022,<2 Years,0
03/23/2022,2 - 4 Years,0
03/23/2022,5 - 11 Years,0.346
03/23/2022,12 - 17 Years,0.687
03/23/2022,18 - 24 Years,0.776
03/23/2022,25 - 49 Years,0.82
03/23/2022,50 - 64 Years,0.925
03/23/2022,65+ Years,0.95
03/22/2022,<2 Years,0
03/22/2022,2 - 4 Years,0
03/22/2022,5 - 11 Years,0.346
03/22/2022,12 - 17 Years,0.687
03/22/2022,18 - 24 Years,0.776
03/22/2022,25 - 49 Years,0.82
03/22/2022,50 - 64 Years,0.925
03/22/2022,65+ Years,0.95
03/21/2022,<2 Years,0
03/21/2022,2 - 4 Years,0
03/21/2022,5 - 11 Years,0.345
03/21/2022,12 - 17 Years,0.686
03/21/2022,18 - 24 Years,0.776
03/21/2022,25 - 49 Years,0.82
03/21/2022,50 - 64 Years,0.925
03/21/2022,65+ Years,0.95
03/20/2022,<2 Years,0
03/20/2022,2 - 4 Years,0
03/20/2022,5 - 11 Years,0.345
03/20/2022,12 - 17 Years,0.686
03/20/2022,18 - 24 Years,0.775
03/20/2022,25 - 49 Years,0.819
03/20/2022,50 - 64 Years,0.925
03/20/2022,65+ Years,0.95
03/19/2022,<2 Years,0
03/19/2022,2 - 4 Years,0
03/19/2022,5 - 11 Years,0.345
03/19/2022,12 - 17 Years,0.686
03/19/2022,18 - 24 Years,0.775
03/19/2022,25 - 49 Years,0.819
03/19/2022,50 - 64 Years,0.925
03/19/2022,65+ Years,0.95
03/18/2022,<2 Years,0
03/18/2022,2 - 4 Years,0
03/18/2022,5 - 11 Years,0.345
03/18/2022,12 - 17 Years,0.686
03/18/2022,18 - 24 Years,0.775
03/18/2022,25 - 49 Years,0.819
03/18/2022,50 - 64 Years,0.924
03/18/2022,65+ Years,0.95
03/17/2022,<2 Years,0
03/17/2022,2 - 4 Years,0
03/17/2022,5 - 11 Years,0.344
03/17/2022,12 - 17 Years,0.686
03/17/2022,18 - 24 Years,0.775
03/17/2022,25 - 49 Years,0.819
03/17/2022,50 - 64 Years,0.924
03/17/2022,65+ Years,0.95
03/16/2022,<2 Years,0
03/16/2022,2 - 4 Years,0
03/16/2022,5 - 11 Years,0.344
03/16/2022,12 - 17 Years,0.685
03/16/2022,18 - 24 Years,0.775
03/16/2022,25 - 49 Years,0.819
03/16/2022,50 - 64 Years,0.924
03/16/2022,65+ Years,0.95
03/15/2022,<2 Years,0
03/15/2022,2 - 4 Years,0
03/15/2022,5 - 11 Years,0.343
03/15/2022,12 - 17 Years,0.685
03/15/2022,18 - 24 Years,0.774
03/15/2022,25 - 49 Years,0.819
03/15/2022,50 - 64 Years,0.924
03/15/2022,65+ Years,0.95
03/14/2022,<2 Years,0
03/14/2022,2 - 4 Years,0
03/14/2022,5 - 11 Years,0.343
03/14/2022,12 - 17 Years,0.685
03/14/2022,18 - 24 Years,0.774
03/14/2022,25 - 49 Years,0.818
03/14/2022,50 - 64 Years,0.924
03/14/2022,65+ Years,0.95
03/13/2022,<2 Years,0
03/13/2022,2 - 4 Years,0
03/13/2022,5 - 11 Years,0.343
03/13/2022,12 - 17 Years,0.685
03/13/2022,18 - 24 Years,0.774
03/13/2022,25 - 49 Years,0.818
03/13/2022,50 - 64 Years,0.924
03/13/2022,65+ Years,0.95
03/12/2022,<2 Years,0
03/12/2022,2 - 4 Years,0
03/12/2022,5 - 11 Years,0.343
03/12/2022,12 - 17 Years,0.685
03/12/2022,18 - 24 Years,0.774
03/12/2022,25 - 49 Years,0.818
03/12/2022,50 - 64 Years,0.924
03/12/2022,65+ Years,0.95
03/11/2022,<2 Years,0
03/11/2022,2 - 4 Years,0
03/11/2022,5 - 11 Years,0.342
03/11/2022,12 - 17 Years,0.684
03/11/2022,18 - 24 Years,0.774
03/11/2022,25 - 49 Years,0.818
03/11/2022,50 - 64 Years,0.924
03/11/2022,65+ Years,0.95
03/10/2022,<2 Years,0
03/10/2022,2 - 4 Years,0
03/10/2022,5 - 11 Years,0.342
03/10/2022,12 - 17 Years,0.684
03/10/2022,18 - 24 Years,0.773
03/10/2022,25 - 49 Years,0.818
03/10/2022,50 - 64 Years,0.924
03/10/2022,65+ Years,0.95
03/09/2022,<2 Years,0
03/09/2022,2 - 4 Years,0
03/09/2022,5 - 11 Years,0.341
03/09/2022,12 - 17 Years,0.684
03/09/2022,18 - 24 Years,0.773
03/09/2022,25 - 49 Years,0.818
03/09/2022,50 - 64 Years,0.924
03/09/2022,65+ Years,0.95
03/08/2022,<2 Years,0
03/08/2022,2 - 4 Years,0
03/08/2022,5 - 11 Years,0.341
03/08/2022,12 - 17 Years,0.684
03/08/2022,18 - 24 Years,0.773
03/08/2022,25 - 49 Years,0.817
03/08/2022,50 - 64 Years,0.924
03/08/2022,65+ Years,0.95
03/07/2022,<2 Years,0
03/07/2022,2 - 4 Years,0
03/07/2022,5 - 11 Years,0.341
03/07/2022,12 - 17 Years,0.684
03/07/2022,18 - 24 Years,0.772
03/07/2022,25 - 49 Years,0.817
03/07/2022,50 - 64 Years,0.923
03/07/2022,65+ Years,0.95
03/06/2022,<2 Years,0
03/06/2022,2 - 4 Years,0
03/06/2022,5 - 11 Years,0.34
03/06/2022,12 - 17 Years,0.683
03/06/2022,18 - 24 Years,0.772
03/06/2022,25 - 49 Years,0.817
03/06/2022,50 - 64 Years,0.923
03/06/2022,65+ Years,0.95
03/05/2022,<2 Years,0
03/05/2022,2 - 4 Years,0
03/05/2022,5 - 11 Years,0.34
03/05/2022,12 - 17 Years,0.683
03/05/2022,18 - 24 Years,0.772
03/05/2022,25 - 49 Years,0.817
03/05/2022,50 - 64 Years,0.923
03/05/2022,65+ Years,0.95
03/04/2022,<2 Years,0
03/04/2022,2 - 4 Years,0
03/04/2022,5 - 11 Years,0.34
03/04/2022,12 - 17 Years,0.683
03/04/2022,18 - 24 Years,0.772
03/04/2022,25 - 49 Years,0.817
03/04/2022,50 - 64 Years,0.923
03/04/2022,65+ Years,0.95
03/03/2022,<2 Years,0
03/03/2022,2 - 4 Years,0
03/03/2022,5 - 11 Years,0.339
03/03/2022,12 - 17 Years,0.683
03/03/2022,18 - 24 Years,0.771
03/03/2022,25 - 49 Years,0.817
03/03/2022,50 - 64 Years,0.923
03/03/2022,65+ Years,0.95
03/02/2022,<2 Years,0
03/02/2022,2 - 4 Years,0
03/02/2022,5 - 11 Years,0.339
03/02/2022,12 - 17 Years,0.682
03/02/2022,18 - 24 Years,0.771
03/02/2022,25 - 49 Years,0.816
03/02/2022,50 - 64 Years,0.923
03/02/2022,65+ Years,0.95
03/01/2022,<2 Years,0
03/01/2022,2 - 4 Years,0
03/01/2022,5 - 11 Years,0.338
03/01/2022,12 - 17 Years,0.682
03/01/2022,18 - 24 Years,0.771
03/01/2022,25 - 49 Years,0.816
03/01/2022,50 - 64 Years,0.923
03/01/2022,65+ Years,0.95
02/28/2022,<2 Years,0
02/28/2022,2 - 4 Years,0
02/28/2022,5 - 11 Years,0.338
02/28/2022,12 - 17 Years,0.682
02/28/2022,18 - 24 Years,0.771
02/28/2022,25 - 49 Years,0.816
02/28/2022,50 - 64 Years,0.923
02/28/2022,65+ Years,0.95
02/27/2022,<2 Years,0
02/27/2022,2 - 4 Years,0
02/27/2022,5 - 11 Years,0.337
02/27/2022,12 - 17 Years,0.682
02/27/2022,18 - 24 Years,0.77
02/27/2022,25 - 49 Years,0.816
02/27/2022,50 - 64 Years,0.923
02/27/2022,65+ Years,0.95
02/26/2022,<2 Years,0
02/26/2022,2 - 4 Years,0
02/26/2022,5 - 11 Years,0.337
02/26/2022,12 - 17 Years,0.681
02/26/2022,18 - 24 Years,0.77
02/26/2022,25 - 49 Years,0.816
02/26/2022,50 - 64 Years,0.922
02/26/2022,65+ Years,0.95
02/25/2022,<2 Years,0
02/25/2022,2 - 4 Years,0
02/25/2022,5 - 11 Years,0.337
02/25/2022,12 - 17 Years,0.681
02/25/2022,18 - 24 Years,0.77
02/25/2022,25 - 49 Years,0.815
02/25/2022,50 - 64 Years,0.922
02/25/2022,65+ Years,0.95
02/24/2022,<2 Years,0
02/24/2022,2 - 4 Years,0
02/24/2022,5 - 11 Years,0.336
02/24/2022,12 - 17 Years,0.681
02/24/2022,18 - 24 Years,0.769
02/24/2022,25 - 49 Years,0.815
02/24/2022,50 - 64 Years,0.922
02/24/2022,65+ Years,0.95
02/23/2022,<2 Years,0
02/23/2022,2 - 4 Years,0
02/23/2022,5 - 11 Years,0.335
02/23/2022,12 - 17 Years,0.68
02/23/2022,18 - 24 Years,0.769
02/23/2022,25 - 49 Years,0.815
02/23/2022,50 - 64 Years,0.922
02/23/2022,65+ Years,0.95
02/22/2022,<2 Years,0
02/22/2022,2 - 4 Years,0
02/22/2022,5 - 11 Years,0.335
02/22/2022,12 - 17 Years,0.68
02/22/2022,18 - 24 Years,0.768
02/22/2022,25 - 49 Years,0.814
02/22/2022,50 - 64 Years,0.922
02/22/2022,65+ Years,0.95
02/21/2022,<2 Years,0
02/21/2022,2 - 4 Years,0
02/21/2022,5 - 11 Years,0.334
02/21/2022,12 - 17 Years,0.68
02/21/2022,18 - 24 Years,0.768
02/21/2022,25 - 49 Years,0.814
02/21/2022,50 - 64 Years,0.922
02/21/2022,65+ Years,0.95
02/20/2022,<2 Years,0
02/20/2022,2 - 4 Years,0
02/20/2022,5 - 11 Years,0.333
02/20/2022,12 - 17 Years,0.679
02/20/2022,18 - 24 Years,0.768
02/20/2022,25 - 49 Years,0.814
02/20/2022,50 - 64 Years,0.922
02/20/2022,65+ Years,0.95
02/19/2022,<2 Years,0
02/19/2022,2 - 4 Years,0
02/19/2022,5 - 11 Years,0.333
02/19/2022,12 - 17 Years,0.679
02/19/2022,18 - 24 Years,0.767
02/19/2022,25 - 49 Years,0.814
02/19/2022,50 - 64 Years,0.921
02/19/2022,65+ Years,0.95
02/18/2022,<2 Years,0
02/18/2022,2 - 4 Years,0
02/18/2022,5 - 11 Years,0.332
02/18/2022,12 - 17 Years,0.679
02/18/2022,18 - 24 Years,0.767
02/18/2022,25 - 49 Years,0.813
02/18/2022,50 - 64 Years,0.921
02/18/2022,65+ Years,0.95
02/17/2022,<2 Years,0
02/17/2022,2 - 4 Years,0
02/17/2022,5 - 11 Years,0.331
02/17/2022,12 - 17 Years,0.678
02/17/2022,18 - 24 Years,0.767
02/17/2022,25 - 49 Years,0.813
02/17/2022,50 - 64 Years,0.921
02/17/2022,65+ Years,0.95
02/16/2022,<2 Years,0
02/16/2022,2 - 4 Years,0
02/16/2022,5 - 11 Years,0.331
02/16/2022,12 - 17 Years,0.678
02/16/2022,18 - 24 Years,0.766
02/16/2022,25 - 49 Years,0.813
02/16/2022,50 - 64 Years,0.921
02/16/2022,65+ Years,0.95
02/15/2022,<2 Years,0
02/15/2022,2 - 4 Years,0
02/15/2022,5 - 11 Years,0.33
02/15/2022,12 - 17 Years,0.677
02/15/2022,18 - 24 Years,0.766
02/15/2022,25 - 49 Years,0.812
02/15/2022,50 - 64 Years,0.921
02/15/2022,65+ Years,0.95
02/14/2022,<2 Years,0
02/14/2022,2 - 4 Years,0
02/14/2022,5 - 11 Years,0.329
02/14/2022,12 - 17 Years,0.677
02/14/2022,18 - 24 Years,0.765
02/14/2022,25 - 49 Years,0.812
02/14/2022,50 - 64 Years,0.921
02/14/2022,65+ Years,0.95
02/13/2022,<2 Years,0
02/13/2022,2 - 4 Years,0
02/13/2022,5 - 11 Years,0.329
02/13/2022,12 - 17 Years,0.677
02/13/2022,18 - 24 Years,0.765
02/13/2022,25 - 49 Years,0.812
02/13/2022,50 - 64 Years,0.92
02/13/2022,65+ Years,0.95
02/12/2022,<2 Years,0
02/12/2022,2 - 4 Years,0
02/12/2022,5 - 11 Years,0.328
02/12/2022,12 - 17 Years,0.676
02/12/2022,18 - 24 Years,0.765
02/12/2022,25 - 49 Years,0.812
02/12/2022,50 - 64 Years,0.92
02/12/2022,65+ Years,0.95
02/11/2022,<2 Years,0
02/11/2022,2 - 4 Years,0
02/11/2022,5 - 11 Years,0.328
02/11/2022,12 - 17 Years,0.676
02/11/2022,18 - 24 Years,0.764
02/11/2022,25 - 49 Years,0.811
02/11/2022,50 - 64 Years,0.92
02/11/2022,65+ Years,0.95
02/10/2022,<2 Years,0
02/10/2022,2 - 4 Years,0
02/10/2022,5 - 11 Years,0.326
02/10/2022,12 - 17 Years,0.675
02/10/2022,18 - 24 Years,0.764
02/10/2022,25 - 49 Years,0.811
02/10/2022,50 - 64 Years,0.92
02/10/2022,65+ Years,0.95
02/09/2022,<2 Years,0
02/09/2022,2 - 4 Years,0
02/09/2022,5 - 11 Years,0.326
02/09/2022,12 - 17 Years,0.675
02/09/2022,18 - 24 Years,0.763
02/09/2022,25 - 49 Years,0.81
02/09/2022,50 - 64 Years,0.92
02/09/2022,65+ Years,0.95
02/08/2022,<2 Years,0
02/08/2022,2 - 4 Years,0
02/08/2022,5 - 11 Years,0.324
02/08/2022,12 - 17 Years,0.674
02/08/2022,18 - 24 Years,0.763
02/08/2022,25 - 49 Years,0.81
02/08/2022,50 - 64 Years,0.919
02/08/2022,65+ Years,0.95
02/07/2022,<2 Years,0
02/07/2022,2 - 4 Years,0
02/07/2022,5 - 11 Years,0.324
02/07/2022,12 - 17 Years,0.674
02/07/2022,18 - 24 Years,0.762
02/07/2022,25 - 49 Years,0.81
02/07/2022,50 - 64 Years,0.919
02/07/2022,65+ Years,0.95
02/06/2022,<2 Years,0
02/06/2022,2 - 4 Years,0
02/06/2022,5 - 11 Years,0.323
02/06/2022,12 - 17 Years,0.673
02/06/2022,18 - 24 Years,0.761
02/06/2022,25 - 49 Years,0.809
02/06/2022,50 - 64 Years,0.919
02/06/2022,65+ Years,0.95
02/05/2022,<2 Years,0
02/05/2022,2 - 4 Years,0
02/05/2022,5 - 11 Years,0.322
02/05/2022,12 - 17 Years,0.673
02/05/2022,18 - 24 Years,0.761
02/05/2022,25 - 49 Years,0.809
02/05/2022,50 - 64 Years,0.919
02/05/2022,65+ Years,0.95
02/04/2022,<2 Years,0
02/04/2022,2 - 4 Years,0
02/04/2022,5 - 11 Years,0.321
02/04/2022,12 - 17 Years,0.672
02/04/2022,18 - 24 Years,0.761
02/04/2022,25 - 49 Years,0.809
02/04/2022,50 - 64 Years,0.918
02/04/2022,65+ Years,0.95
02/03/2022,<2 Years,0
02/03/2022,2 - 4 Years,0
02/03/2022,5 - 11 Years,0.32
02/03/2022,12 - 17 Years,0.672
02/03/2022,18 - 24 Years,0.76
02/03/2022,25 - 49 Years,0.808
02/03/2022,50 - 64 Years,0.918
02/03/2022,65+ Years,0.95
02/02/2022,<2 Years,0
02/02/2022,2 - 4 Years,0
02/02/2022,5 - 11 Years,0.319
02/02/2022,12 - 17 Years,0.671
02/02/2022,18 - 24 Years,0.759
02/02/2022,25 - 49 Years,0.808
02/02/2022,50 - 64 Years,0.918
02/02/2022,65+ Years,0.95
02/01/2022,<2 Years,0
02/01/2022,2 - 4 Years,0
02/01/2022,5 - 11 Years,0.318
02/01/2022,12 - 17 Years,0.671
02/01/2022,18 - 24 Years,0.759
02/01/2022,25 - 49 Years,0.807
02/01/2022,50 - 64 Years,0.918
02/01/2022,65+ Years,0.95
01/31/2022,<2 Years,0
01/31/2022,2 - 4 Years,0
01/31/2022,5 - 11 Years,0.317
01/31/2022,12 - 17 Years,0.67
01/31/2022,18 - 24 Years,0.758
01/31/2022,25 - 49 Years,0.807
01/31/2022,50 - 64 Years,0.917
01/31/2022,65+ Years,0.95
01/30/2022,<2 Years,0
01/30/2022,2 - 4 Years,0
01/30/2022,5 - 11 Years,0.316
01/30/2022,12 - 17 Years,0.669
01/30/2022,18 - 24 Years,0.757
01/30/2022,25 - 49 Years,0.806
01/30/2022,50 - 64 Years,0.917
01/30/2022,65+ Years,0.95
01/29/2022,<2 Years,0
01/29/2022,2 - 4 Years,0
01/29/2022,5 - 11 Years,0.315
01/29/2022,12 - 17 Years,0.669
01/29/2022,18 - 24 Years,0.757
01/29/2022,25 - 49 Years,0.806
01/29/2022,50 - 64 Years,0.917
01/29/2022,65+ Years,0.95
01/28/2022,<2 Years,0
01/28/2022,2 - 4 Years,0
01/28/2022,5 - 11 Years,0.314
01/28/2022,12 - 17 Years,0.669
01/28/2022,18 - 24 Years,0.757
01/28/2022,25 - 49 Years,0.806
01/28/2022,50 - 64 Years,0.917
01/28/2022,65+ Years,0.95
01/27/2022,<2 Years,0
01/27/2022,2 - 4 Years,0
01/27/2022,5 - 11 Years,0.312
01/27/2022,12 - 17 Years,0.668
01/27/2022,18 - 24 Years,0.756
01/27/2022,25 - 49 Years,0.805
01/27/2022,50 - 64 Years,0.916
01/27/2022,65+ Years,0.95
01/26/2022,<2 Years,0
01/26/2022,2 - 4 Years,0
01/26/2022,5 - 11 Years,0.31
01/26/2022,12 - 17 Years,0.667
01/26/2022,18 - 24 Years,0.755
01/26/2022,25 - 49 Years,0.804
01/26/2022,50 - 64 Years,0.916
01/26/2022,65+ Years,0.95
01/25/2022,<2 Years,0
01/25/2022,2 - 4 Years,0
01/25/2022,5 - 11 Years,0.309
01/25/2022,12 - 17 Years,0.666
01/25/2022,18 - 24 Years,0.754
01/25/2022,25 - 49 Years,0.804
01/25/2022,50 - 64 Years,0.915
01/25/2022,65+ Years,0.95
01/24/2022,<2 Years,0
01/24/2022,2 - 4 Years,0
01/24/2022,5 - 11 Years,0.307
01/24/2022,12 - 17 Years,0.665
01/24/2022,18 - 24 Years,0.753
01/24/2022,25 - 49 Years,0.803
01/24/2022,50 - 64 Years,0.915
01/24/2022,65+ Years,0.95
01/23/2022,<2 Years,0
01/23/2022,2 - 4 Years,0
01/23/2022,5 - 11 Years,0.306
01/23/2022,12 - 17 Years,0.665
01/23/2022,18 - 24 Years,0.752
01/23/2022,25 - 49 Years,0.803
01/23/2022,50 - 64 Years,0.914
01/23/2022,65+ Years,0.95
01/22/2022,<2 Years,0
01/22/2022,2 - 4 Years,0
01/22/2022,5 - 11 Years,0.305
01/22/2022,12 - 17 Years,0.664
01/22/2022,18 - 24 Years,0.751
01/22/2022,25 - 49 Years,0.802
01/22/2022,50 - 64 Years,0.914
01/22/2022,65+ Years,0.95
01/21/2022,<2 Years,0
01/21/2022,2 - 4 Years,0
01/21/2022,5 - 11 Years,0.303
01/21/2022,12 - 17 Years,0.663
01/21/2022,18 - 24 Years,0.751
01/21/2022,25 - 49 Years,0.802
01/21/2022,50 - 64 Years,0.914
01/21/2022,65+ Years,0.95
01/20/2022,<2 Years,0
01/20/2022,2 - 4 Years,0
01/20/2022,5 - 11 Years,0.301
01/20/2022,12 - 17 Years,0.662
01/20/2022,18 - 24 Years,0.75
01/20/2022,25 - 49 Years,0.801
01/20/2022,50 - 64 Years,0.913
01/20/2022,65+ Years,0.95
01/19/2022,<2 Years,0
01/19/2022,2 - 4 Years,0
01/19/2022,5 - 11 Years,0.299
01/19/2022,12 - 17 Years,0.661
01/19/2022,18 - 24 Years,0.749
01/19/2022,25 - 49 Years,0.8
01/19/2022,50 - 64 Years,0.913
01/19/2022,65+ Years,0.95
01/18/2022,<2 Years,0
01/18/2022,2 - 4 Years,0
01/18/2022,5 - 11 Years,0.297
01/18/2022,12 - 17 Years,0.66
01/18/2022,18 - 24 Years,0.747
01/18/2022,25 - 49 Years,0.8
01/18/2022,50 - 64 Years,0.912
01/18/2022,65+ Years,0.95
01/17/2022,<2 Years,0
01/17/2022,2 - 4 Years,0
01/17/2022,5 - 11 Years,0.295
01/17/2022,12 - 17 Years,0.659
01/17/2022,18 - 24 Years,0.746
01/17/2022,25 - 49 Years,0.799
01/17/2022,50 - 64 Years,0.912
01/17/2022,65+ Years,0.95
01/16/2022,<2 Years,0
01/16/2022,2 - 4 Years,0
01/16/2022,5 - 11 Years,0.293
01/16/2022,12 - 17 Years,0.658
01/16/2022,18 - 24 Years,0.745
01/16/2022,25 - 49 Years,0.798
01/16/2022,50 - 64 Years,0.911
01/16/2022,65+ Years,0.95
01/15/2022,<2 Years,0
01/15/2022,2 - 4 Years,0
01/15/2022,5 - 11 Years,0.292
01/15/2022,12 - 17 Years,0.658
01/15/2022,18 - 24 Years,0.745
01/15/2022,25 - 49 Years,0.798
01/15/2022,50 - 64 Years,0.911
01/15/2022,65+ Years,0.95
01/14/2022,<2 Years,0
01/14/2022,2 - 4 Years,0
01/14/2022,5 - 11 Years,0.29
01/14/2022,12 - 17 Years,0.657
01/14/2022,18 - 24 Years,0.744
01/14/2022,25 - 49 Years,0.797
01/14/2022,50 - 64 Years,0.911
01/14/2022,65+ Years,0.95
01/13/2022,<2 Years,0
01/13/2022,2 - 4 Years,0
01/13/2022,5 - 11 Years,0.287
01/13/2022,12 - 17 Years,0.655
01/13/2022,18 - 24 Years,0.743
01/13/2022,25 - 49 Years,0.796
01/13/2022,50 - 64 Years,0.91
01/13/2022,65+ Years,0.95
01/12/2022,<2 Years,0
01/12/2022,2 - 4 Years,0
01/12/2022,5 - 11 Years,0.284
01/12/2022,12 - 17 Years,0.654
01/12/2022,18 - 24 Years,0.741
01/12/2022,25 - 49 Years,0.795
01/12/2022,50 - 64 Years,0.909
01/12/2022,65+ Years,0.95
01/11/2022,<2 Years,0
01/11/2022,2 - 4 Years,0
01/11/2022,5 - 11 Years,0.281
01/11/2022,12 - 17 Years,0.652
01/11/2022,18 - 24 Years,0.74
01/11/2022,25 - 49 Years,0.794
01/11/2022,50 - 64 Years,0.909
01/11/2022,65+ Years,0.95
01/10/2022,<2 Years,0
01/10/2022,2 - 4 Years,0
01/10/2022,5 - 11 Years,0.278
01/10/2022,12 - 17 Years,0.651
01/10/2022,18 - 24 Years,0.738
01/10/2022,25 - 49 Years,0.793
01/10/2022,50 - 64 Years,0.908
01/10/2022,65+ Years,0.95
01/09/2022,<2 Years,0
01/09/2022,2 - 4 Years,0
01/09/2022,5 - 11 Years,0.276
01/09/2022,12 - 17 Years,0.65
01/09/2022,18 - 24 Years,0.736
01/09/2022,25 - 49 Years,0.792
01/09/2022,50 - 64 Years,0.907
01/09/2022,65+ Years,0.95
01/08/2022,<2 Years,0
01/08/2022,2 - 4 Years,0
01/08/2022,5 - 11 Years,0.275
01/08/2022,12 - 17 Years,0.649
01/08/2022,18 - 24 Years,0.736
01/08/2022,25 - 49 Years,0.792
01/08/2022,50 - 64 Years,0.907
